Delhi,Timestamp
1129.67,2023-01-01 15:15:00
1341.43,2023-01-01 15:30:00
1439.81,2023-01-01 15:45:00
1701.88,2023-01-01 16:00:00
2024.85,2023-01-01 16:15:00
2178.42,2023-01-01 16:30:00
2381.87,2023-01-01 16:45:00
2704.98,2023-01-01 17:00:00
2901.63,2023-01-01 17:15:00
3244.98,2023-01-01 17:30:00
3301.53,2023-01-01 17:45:00
3781.41,2023-01-01 18:00:00
3771.32,2023-01-01 18:15:00
3918.27,2023-01-01 18:30:00
4113.93,2023-01-01 18:45:00
4136.15,2023-01-01 19:00:00
4235.96,2023-01-01 19:15:00
3968.68,2023-01-01 19:30:00
3657.28,2023-01-01 19:45:00
3696.1,2023-01-01 20:00:00
3429.24,2023-01-01 20:15:00
3345.79,2023-01-01 20:30:00
3023.72,2023-01-01 20:45:00
2802.27,2023-01-01 21:00:00
2490.4,2023-01-01 21:15:00
2193.18,2023-01-01 21:30:00
1950.41,2023-01-01 21:45:00
1634.39,2023-01-01 22:00:00
1427.25,2023-01-01 22:15:00
1239.3,2023-01-01 22:30:00
1177.16,2023-01-01 22:45:00
968.23,2023-01-01 23:00:00
863.11,2023-01-01 23:15:00
761.75,2023-01-01 23:30:00
689.25,2023-01-01 23:45:00
1196.27,2024-01-01 00:00:00
1181.4,2024-01-01 00:15:00
1287.67,2024-01-01 00:30:00
1367.55,2024-01-01 00:45:00
1388.85,2024-01-01 01:00:00
1355.42,2024-01-01 01:15:00
1414.67,2024-01-01 01:30:00
1431.97,2024-01-01 01:45:00
1476.45,2024-01-01 02:00:00
1475.63,2024-01-01 02:15:00
1442.05,2024-01-01 02:30:00
1468.2,2024-01-01 02:45:00
1383.99,2024-01-01 03:00:00
1484.01,2024-01-01 03:15:00
1560.12,2024-01-01 03:30:00
1557.56,2024-01-01 03:45:00
1507.3,2024-01-01 04:00:00
1599.43,2024-01-01 04:15:00
1678.62,2024-01-01 04:30:00
1562.95,2024-01-01 04:45:00
1846.15,2024-01-01 05:00:00
1998.4,2024-01-01 05:15:00
2110.51,2024-01-01 05:30:00
2422.8,2024-01-01 05:45:00
2557.47,2024-01-01 06:00:00
2997.44,2024-01-01 06:15:00
3145.34,2024-01-01 06:30:00
3493.06,2024-01-01 06:45:00
3842.95,2024-01-01 07:00:00
3991.16,2024-01-01 07:15:00
3907.64,2024-01-01 07:30:00
4251.86,2024-01-01 07:45:00
4197.26,2024-01-01 08:00:00
4155.83,2024-01-01 08:15:00
3810.37,2024-01-01 08:30:00
3799.04,2024-01-01 08:45:00
3246.84,2024-01-01 09:00:00
3064.75,2024-01-01 09:15:00
2748.16,2024-01-01 09:30:00
2311.97,2024-01-01 09:45:00
2108.09,2024-01-01 10:00:00
1792.43,2024-01-01 10:15:00
1606.8,2024-01-01 10:30:00
1251.97,2024-01-01 10:45:00
1144.72,2024-01-01 11:00:00
898.71,2024-01-01 11:15:00
833.54,2024-01-01 11:30:00
734.75,2024-01-01 11:45:00
712.03,2024-01-01 12:00:00
703.99,2024-01-01 12:15:00
665.01,2024-01-01 12:30:00
645.0,2024-01-01 12:45:00
677.88,2024-01-01 13:00:00
641.53,2024-01-01 13:15:00
664.45,2024-01-01 13:30:00
747.76,2024-01-01 13:45:00
791.21,2024-01-01 14:00:00
868.01,2024-01-01 14:15:00
936.65,2024-01-01 14:30:00
1033.21,2024-01-01 14:45:00
1224.47,2024-01-01 15:00:00
1274.72,2024-01-01 15:15:00
1472.37,2024-01-01 15:30:00
1751.37,2024-01-01 15:45:00
2003.36,2024-01-01 16:00:00
2465.29,2024-01-01 16:15:00
2693.05,2024-01-01 16:30:00
2914.08,2024-01-01 16:45:00
3271.51,2024-01-01 17:00:00
3439.26,2024-01-01 17:15:00
3799.55,2024-01-01 17:30:00
4162.55,2024-01-01 17:45:00
4479.73,2024-01-01 18:00:00
4750.56,2024-01-01 18:15:00
5017.27,2024-01-01 18:30:00
4711.47,2024-01-01 18:45:00
5055.54,2024-01-01 19:00:00
4935.82,2024-01-01 19:15:00
4791.69,2024-01-01 19:30:00
4549.8,2024-01-01 19:45:00
4333.05,2024-01-01 20:00:00
3902.82,2024-01-01 20:15:00
3852.34,2024-01-01 20:30:00
3679.14,2024-01-01 20:45:00
3357.72,2024-01-01 21:00:00
2952.29,2024-01-01 21:15:00
2616.61,2024-01-01 21:30:00
2262.26,2024-01-01 21:45:00
